id,id_pedido,id_produto,quantidade,preco_unitario,subtotal
1,1,1,1,4999.99,4999.99
2,1,3,1,599.99,599.99
3,2,2,1,3999.99,3999.99
4,2,7,1,299.99,299.99
5,3,4,1,699.99,699.99
6,3,9,2,199.99,399.99
7,3,8,1,499.99,499.99
8,4,3,1,599.99,599.99
9,4,9,1,199.99,199.99
10,4,8,2,499.99,999.98
11,5,5,1,2499.99,2499.99
12,5,9,1,199.99,199.99
13,6,6,1,8999.99,8999.99
14,6,1,1,4999.99,4999.99
15,6,7,2,299.99,599.98
16,7,7,2,299.99,599.98
17,8,4,1,699.99,699.99
18,9,9,2,199.99,399.98
19,10,10,1,1999.99,1999.99
